anno_acc,id_ateneo,id_laurea,zona,regione,ateneo,tipologia,durata,laurea,codice_classe,nome_classe,isc_1anno,isc_totali,url_corso
2022/2023,07201,1580186,SUD,PUGLIA,Bari,triennale,3,scienze dei beni culturali,NA,beni culturali,145,513,https://www.uniba.it/corsi/scienze-beni-culturali
2022/2023,07201,1579044,SUD,PUGLIA,Bari,triennale,3,"dams - discipline dell'audiovisivo, della musica e dello spettacolo",NA,"discipline delle arti figurative, della musica, dello spettacolo e della moda",NA,NA,NA
2022/2023,07201,1584060,SUD,PUGLIA,Bari,triennale,3,filosofia,NA,filosofia,103,291,https://www.uniba.it/ricerca/dipartimenti/dirium/didattica/corsi-di-laurea-1/schede-corsi/scheda-corso-filosofia
2022/2023,07201,1582539,SUD,PUGLIA,Bari,triennale,3,lettere,NA,lettere,454,1780,https://manageweb.ict.uniba.it/ricerca/dipartimenti/lelia/offerta-formativa/schede-dei-corsi/corso-lettere
2022/2023,07201,1579725,SUD,PUGLIA,Bari,triennale,3,"lingue, culture e letterature moderne",NA,lingue e culture moderne,143,390,https://www.uniba.it/ricerca/dipartimenti/dirium/didattica/corsi-di-laurea-1/schede-corsi/copy_of_corso-lingue-culture-letterature-moderne
2022/2023,07201,1579726,SUD,PUGLIA,Bari,triennale,3,lingue e culture per il turismo e la mediazione internazionale,NA,mediazione linguistica,731,1816,https://www.uniba.it/corsi/lingue-culture-turismo-mediazione-internazionale
2022/2023,07201,1584095,SUD,PUGLIA,Bari,triennale,3,scienze dei servizi giuridici,NA,scienze dei servizi giuridici,70,284,https://www.uniba.it/ricerca/dipartimenti/lex/didattica/programmazione-didattica/corsi-di-studio-regolamenti-didattici-e-programmi-a-a-2022-2023/laurea-in-scienze-dei-servizi-giuridici-ssg
2022/2023,07201,1584094,SUD,PUGLIA,Bari,triennale,3,consulente del lavoro e operatore di impresa,NA,scienze dei servizi giuridici,NA,NA,https://www.uniba.it/ricerca/dipartimenti/lex/didattica/programmazione-didattica/corsi-di-studio-regolamenti-didattici-e-programmi-a-a-2022-2023/consulente-del-lavoro-e-operatore-di-impresa-conslav
2022/2023,07201,1583260,SUD,PUGLIA,Bari,triennale,3,"scienze giuridiche per l'immigrazione, i diritti umani e l'interculturalità",NA,scienze dei servizi giuridici,NA,NA,https://www.uniba.it/corsi/scienze-giuridiche-immigrazione-diritti-umani-e-interculturalita/jonico
2022/2023,07201,1579841,SUD,PUGLIA,Bari,triennale,3,"scienze politiche, economiche e amministrative",NA,scienze dell'amministrazione e dell'organizzazione,NA,NA,http://www.uniba.it/ricerca/dipartimenti/scienze-politiche/didattica/corsi-di-laurea/spea
2022/2023,07201,1584322,SUD,PUGLIA,Bari,triennale,3,economia aziendale,NA,scienze dell'economia e della gestione aziendale,230,854,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/economia-aziendale-br
2022/2023,07201,1584321,SUD,PUGLIA,Bari,triennale,3,economia aziendale,NA,scienze dell'economia e della gestione aziendale,230,854,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/economia-aziendale
2022/2023,07201,1583261,SUD,PUGLIA,Bari,triennale,3,economia e amministrazione delle aziende,NA,scienze dell'economia e della gestione aziendale,174,560,https://www.uniba.it/corsi/economia-amministrazione-aziende/
2022/2023,07201,1583747,SUD,PUGLIA,Bari,triennale,3,marketing e comunicazione d'azienda,NA,scienze dell'economia e della gestione aziendale,435,1412,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/corso-di-laurea-triennale-marketing-comunicazione-dazienda
2022/2023,07201,1581841,SUD,PUGLIA,Bari,triennale,3,scienze e tecnologie del territorio e dell'ambiente agro-forestale,NA,scienze e tecnologie agrarie e forestali,NA,NA,https://w3.uniba.it/ricerca/dipartimenti/disaat/didattica/off/offerta-formativa-2022-2023/staf/corso-staf-di.s.a.a.t.
2022/2023,07201,1583262,SUD,PUGLIA,Bari,triennale,3,scienze e gestione delle attività marittime,NA,scienze e tecnologie della navigazione,223,615,https://www.uniba.it/corsi/scienze-gestione-attivita-marittime/?_authenticator=25fd4e23aceda66339d065e96ea9d641c7c4bc0a
2022/2023,07201,1584065,SUD,PUGLIA,Bari,triennale,3,fisica,NA,scienze e tecnologie fisiche,94,295,https://manageweb.ict.uniba.it/ricerca/dipartimenti/fisica/didattica-1/fisica
2022/2023,07201,1584067,SUD,PUGLIA,Bari,triennale,3,scienza e tecnologia dei materiali,NA,scienze e tecnologie fisiche,NA,NA,http://www.uniba.it/ricerca/dipartimenti/fisica/didattica-1/scienza-tecnologia-materiali
2022/2023,07201,1579183,SUD,PUGLIA,Bari,triennale,3,informatica,NA,scienze e tecnologie informatiche,316,1012,https://www.uniba.it/ricerca/dipartimenti/informatica/didattica/corsi-di-laurea/informatica-270/laurea-triennale-in-informatica-d.m.-270-1
2022/2023,07201,1579184,SUD,PUGLIA,Bari,triennale,3,informatica e comunicazione digitale,NA,scienze e tecnologie informatiche,85,271,https://www.uniba.it/ricerca/dipartimenti/informatica/didattica/corsi-di-laurea/informatica-icd-taranto-270/laurea-triennale-in-informatica-e-comunicazione-digitale-sede-di-taranto-d.m.-270
2022/2023,07201,1579182,SUD,PUGLIA,Bari,triennale,3,informatica e tecnologie per la produzione del software,NA,scienze e tecnologie informatiche,247,903,https://www.uniba.it/ricerca/dipartimenti/informatica/didattica/corsi-di-laurea/informatica-tps-270/laurea-triennale-in-informatica-e-tecnologie-per-la-produzione-del-software-d.m.-270
2022/2023,07201,1584062,SUD,PUGLIA,Bari,triennale,3,scienze ambientali,NA,scienze e tecnologie per l'ambiente e la natura,18,67,https://www.uniba.it/corsi/scienze-ambientali
2022/2023,07201,1582688,SUD,PUGLIA,Bari,triennale,3,scienze della natura,NA,scienze e tecnologie per l'ambiente e la natura,113,216,https://www.uniba.it/ricerca/dipartimenti/biologia/didattica-corsi-di-studio/corsi/scienze-della-natura/scienze-della-natura
2022/2023,07201,1583526,SUD,PUGLIA,Bari,triennale,3,economia e commercio,NA,scienze economiche,366,1339,https://manageweb.ict.uniba.it/ricerca/dipartimenti/dse/didattica/schede-dei-corsi/economia-e-commercio
2022/2023,07201,1584069,SUD,PUGLIA,Bari,triennale,3,scienze geologiche,NA,scienze geologiche,NA,NA,http://www.scienzegeologiche.uniba.it
2022/2023,07201,1584071,SUD,PUGLIA,Bari,triennale,3,matematica,NA,scienze matematiche,96,286,https://www.dm.uniba.it/didattica/cds-matematica/aa-2022-2023
2022/2023,07201,1579836,SUD,PUGLIA,Bari,triennale,3,scienze politiche,NA,scienze politiche e delle relazioni internazionali,NA,NA,http://www.uniba.it/ricerca/dipartimenti/scienze-politiche/didattica/corsi-di-laurea/sp
2022/2023,07201,1580716,SUD,PUGLIA,Bari,triennale,3,scienze animali,NA,scienze zootecniche e tecnologie delle produzioni animali,NA,NA,https://manageweb.ict.uniba.it/ricerca/dipartimenti/dipmedveterinaria/didattica-1/offerta-formativa/scienze-animali_l38
2022/2023,07201,1579837,SUD,PUGLIA,Bari,triennale,3,scienze del servizio sociale e sociologia,NA,servizio sociale,NA,NA,https://w3.uniba.it/ricerca/dipartimenti/scienze-politiche/didattica/corsi-di-laurea/ssss
2022/2023,07201,1580820,SUD,PUGLIA,Bari,triennale,3,scienze statistiche,NA,statistica,28,99,https://manageweb.ict.uniba.it/ricerca/dipartimenti/dse/didattica/schede-dei-corsi/scienze-statistiche
2022/2023,07201,1583023,SUD,PUGLIA,Bari,triennale,3,storia,NA,storia,NA,NA,https://www.uniba.it/corsi/storia
2022/2023,07201,1583265,SUD,PUGLIA,Bari,ciclo_unico,5,giurisprudenza,NA,magistrali in giurisprudenza,555,3951,https://www.uniba.it/corsi/giurispudenza-taranto
2022/2023,07201,1584097,SUD,PUGLIA,Bari,ciclo_unico,5,giurisprudenza,NA,magistrali in giurisprudenza,555,3951,https://www.uniba.it/ricerca/dipartimenti/lex/didattica/programmazione-didattica/corsi-di-studio-regolamenti-didattici-e-programmi-a-a-2022-2023/scheda-laurea-magistrale-a-ciclo-unico-in-giurisprudenza-gia-dimpresa-lmgi
2022/2023,07201,1584096,SUD,PUGLIA,Bari,ciclo_unico,5,giurisprudenza,NA,magistrali in giurisprudenza,555,3951,https://www.uniba.it/ricerca/dipartimenti/lex/didattica/programmazione-didattica/corsi-di-studio-regolamenti-didattici-e-programmi-a-a-2022-2023/laurea-magistrale-a-ciclo-unico-in-giurisprudenza-lmg
2022/2023,07201,1580187,SUD,PUGLIA,Bari,magistrale,2,archeologia,NA,archeologia,12,52,https://www.uniba.it/corsi/archeologia
2022/2023,07201,1582962,SUD,PUGLIA,Bari,magistrale,2,"patrimonio digitale. musei, archivi, biblioteche",NA,archivistica e biblioteconomia,NA,NA,https://www.uniba.it/corsi/patrimonio-digitale-musei-archivi-biblioteche
2022/2023,07201,1584263,SUD,PUGLIA,Bari,magistrale,2,biologia ambientale,NA,biologia,NA,NA,https://manageweb.ict.uniba.it/ricerca/dipartimenti/biologia/didattica-corsi-di-studio/corsi/biologia-ambientale
2022/2023,07201,1584264,SUD,PUGLIA,Bari,magistrale,2,biologia cellulare e molecolare,NA,biologia,13,37,https://manageweb.ict.uniba.it/ricerca/dipartimenti/bioscienze-biotecnologie/didattica/biologia-cellulare-molecolare
2022/2023,07201,1582686,SUD,PUGLIA,Bari,magistrale,2,scienze biosanitarie,NA,biologia,50,124,https://manageweb.ict.uniba.it/ricerca/dipartimenti/bioscienze-biotecnologie/didattica/scienze-biosanitarie
2022/2023,07201,1584280,SUD,PUGLIA,Bari,magistrale,2,biotecnologie per la qualità e la sicurezza dell'alimentazione,NA,biotecnologie agrarie,NA,NA,https://www.uniba.it/ricerca/dipartimenti/disspa/2022-2023/clmbqsa
2022/2023,07201,1579040,SUD,PUGLIA,Bari,magistrale,2,bioinformatica,NA,biotecnologie industriali,NA,NA,https://www.uniba.it/corsi/bioinformatica
2022/2023,07201,1579041,SUD,PUGLIA,Bari,magistrale,2,biotecnologie industriali e farmaceutiche,NA,biotecnologie industriali,NA,NA,https://www.uniba.it/corsi/biotecnologie-industriali-e-farmaceutiche
2022/2023,07201,1579610,SUD,PUGLIA,Bari,magistrale,2,biotecnologie mediche e medicina molecolare,NA,"biotecnologie mediche, veterinarie e farmaceutiche",49,118,https://www.uniba.it/corsi/biotecnologie-mediche-e-medicina-molecolare
2022/2023,07201,1582540,SUD,PUGLIA,Bari,magistrale,2,filologia moderna,NA,filologia moderna,151,394,https://www.uniba.it/corsi/filologia-moderna
2022/2023,07201,1582541,SUD,PUGLIA,Bari,magistrale,2,"filologia, letterature e storia dell'antichità",NA,"filologia, letterature e storia dell'antichità",NA,NA,https://manageweb.ict.uniba.it/ricerca/dipartimenti/disum/offerta-formativa/didattica/scheda-corso-filologia-letterature-storia-antichita
2022/2023,07201,1584066,SUD,PUGLIA,Bari,magistrale,2,physics,NA,fisica,11,39,https://manageweb.ict.uniba.it/ricerca/dipartimenti/fisica/didattica-1/physics-eng
2022/2023,07201,1579185,SUD,PUGLIA,Bari,magistrale,2,computer science,NA,informatica,37,78,https://www.uniba.it/ricerca/dipartimenti/informatica/didattica/corsi-di-laurea/computer-science/computer-science
2022/2023,07201,1579727,SUD,PUGLIA,Bari,magistrale,2,lingue e letterature moderne,NA,lingue e letterature moderne europee e americane,48,109,https://www.uniba.it/ricerca/dipartimenti/dirium/didattica/corsi-di-laurea-1/schede-corsi/copy_of_corso-lingue-letterature-moderne
2022/2023,07201,1584072,SUD,PUGLIA,Bari,magistrale,2,matematica,NA,matematica,25,72,https://www.dm.uniba.it/didattica/cds-matematica/aa-2022-2023/scheda-cds-lm40
2022/2023,07201,1584093,SUD,PUGLIA,Bari,magistrale,2,progettazione e management dei sistemi turistici e culturali,NA,progettazione e gestione dei sistemi turistici,62,146,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/progettazione-management-sistemi-turistici-culturali
2022/2023,07201,1579838,SUD,PUGLIA,Bari,magistrale,2,relazioni internazionali e studi europei,NA,relazioni internazionali,NA,NA,https://w3.uniba.it/ricerca/dipartimenti/scienze-politiche/didattica/corsi-di-laurea/rise
2022/2023,07201,1584068,SUD,PUGLIA,Bari,magistrale,2,scienza e tecnologia dei materiali,NA,scienza e ingegneria dei materiali,NA,NA,https://www.uniba.it/ricerca/dipartimenti/chimica/didattica/scienza-tecnologia-dei-materiali
2022/2023,07201,1579249,SUD,PUGLIA,Bari,magistrale,2,scienze chimiche,NA,scienze chimiche,23,66,https://www.uniba.it/corsi/scienze-chimiche
2022/2023,07201,1583663,SUD,PUGLIA,Bari,magistrale,2,economia e strategie per i mercati internazionali,NA,scienze dell'economia,32,68,https://manageweb.ict.uniba.it/ricerca/dipartimenti/dse/didattica/schede-dei-corsi/economia-e-strategie-mercati-internazionali
2022/2023,07201,1584092,SUD,PUGLIA,Bari,magistrale,2,"economia, finanza e impresa",NA,scienze dell'economia,99,178,https://manageweb.ict.uniba.it/ricerca/dipartimenti/dse/didattica/schede-dei-corsi/economia-finanza-e-impresa
2022/2023,07201,1582689,SUD,PUGLIA,Bari,magistrale,2,scienze della natura e dell'ambiente,NA,scienze della natura,NA,NA,https://www.uniba.it/ricerca/dipartimenti/biologia/didattica-corsi-di-studio/corsi/scienze-della-natura-e-ambiente/scienze-natura-e-ambiente
2022/2023,07201,1583520,SUD,PUGLIA,Bari,magistrale,2,scienze della nutrizione per la salute umana,NA,scienze della nutrizione umana,26,58,https://uniba.it/corsi/scienze-nutrizione-salute-umana
2022/2023,07201,1579839,SUD,PUGLIA,Bari,magistrale,2,scienze delle amministrazioni,NA,scienze delle pubbliche amministrazioni,NA,78,https://w3.uniba.it/ricerca/dipartimenti/scienze-politiche/didattica/corsi-di-laurea/SA-n.o.
2022/2023,07201,1582542,SUD,PUGLIA,Bari,magistrale,2,scienze dello spettacolo,NA,scienze dello spettacolo e produzione multimediale,18,49,https://manageweb.ict.uniba.it/ricerca/dipartimenti/lelia/offerta-formativa/schede-dei-corsi/corso-scienze-spettacolo
2022/2023,07201,1579186,SUD,PUGLIA,Bari,magistrale,2,sicurezza informatica,NA,sicurezza informatica,38,61,https://www.uniba.it/ricerca/dipartimenti/informatica/didattica/corsi-di-laurea/sicurezza-informatica/laurea-magistrale-in-informatica
2022/2023,07201,1584551,SUD,PUGLIA,Bari,magistrale,2,scienze e tecniche dello sport,NA,scienze e tecniche dello sport,76,126,https://manageweb.ict.uniba.it/ricerca/dipartimenti/smbnos/didattica/schede-dei-corsi/scienze-e-tecniche-dello-sport
2022/2023,07201,1581847,SUD,PUGLIA,Bari,magistrale,2,innovation development in agri-food systems (ideas),NA,scienze e tecnologie agrarie,NA,NA,http://uniba.it/ricerca/dipartimenti/disspa/attivita-didattica/corsi-di-studio/corsi-di-studio-2022-2023/siti-dei-corsi-di-studio/sito-web-del-corso-di-laurea-magistrale-in-innovation-development-of-agrifood-systems-2022-2023
2022/2023,07201,1581843,SUD,PUGLIA,Bari,magistrale,2,medicina delle piante,NA,scienze e tecnologie agrarie,31,80,https://www.uniba.it/ricerca/dipartimenti/disspa/2022-2023/clmmdp
2022/2023,07201,1581844,SUD,PUGLIA,Bari,magistrale,2,scienze agro-ambientali e territoriali,NA,scienze e tecnologie agrarie,30,59,https://w3.uniba.it/ricerca/dipartimenti/disaat/didattica/off/offerta-formativa-2022-2023/saat/corso-saat-di.s.a.a.t.
2022/2023,07201,1581846,SUD,PUGLIA,Bari,magistrale,2,scienze e tecnologie alimentari,NA,scienze e tecnologie alimentari,49,137,https://www.uniba.it/ricerca/dipartimenti/disspa/2022-2023/clmstal
2022/2023,07201,1579042,SUD,PUGLIA,Bari,magistrale,2,chimica industriale,NA,scienze e tecnologie della chimica industriale,NA,NA,https://www.uniba.it/corsi/chimica-industriale
2022/2023,07201,1584070,SUD,PUGLIA,Bari,magistrale,2,scienze geologiche e geofisiche,NA,scienze e tecnologie geologiche,15,45,http://www.scienzegeologiche.uniba.it
2022/2023,07201,1583683,SUD,PUGLIA,Bari,magistrale,2,consulenza professionale per le aziende,NA,scienze economico-aziendali,47,139,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/consulenza-professionale-aziende
2022/2023,07201,1583684,SUD,PUGLIA,Bari,magistrale,2,economia e management,NA,scienze economico-aziendali,113,257,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/economia-management
2022/2023,07201,1583600,SUD,PUGLIA,Bari,magistrale,2,economia degli intermediari e dei mercati finanziari,NA,scienze economico-aziendali,61,141,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/economia-intermediari-mercati-finanziari
2022/2023,07201,1579043,SUD,PUGLIA,Bari,magistrale,2,gestione strategica e marketing digitale,NA,scienze economico-aziendali,NA,NA,NA
2022/2023,07201,1584120,SUD,PUGLIA,Bari,magistrale,2,"innovazione, governance e sostenibilità",NA,scienze economico-aziendali,NA,NA,https://www.uniba.it/ricerca/dipartimenti/demdi/didattica/a-a-2021-2022/innovazione-governance-e-sostenibilita
2022/2023,07201,1583263,SUD,PUGLIA,Bari,magistrale,2,strategie d'impresa e management,NA,scienze economico-aziendali,54,141,https://www.uniba.it/corsi/strategie-impresa-management/?_authenticator=8494606bfa4d497900148563191723f44d133502
2022/2023,07201,1584061,SUD,PUGLIA,Bari,magistrale,2,scienze filosofiche,NA,scienze filosofiche,40,91,https://www.uniba.it/ricerca/dipartimenti/dirium/didattica/corsi-di-laurea-1/schede-corsi/scheda-corso-scienze-filosofiche
2022/2023,07201,1580821,SUD,PUGLIA,Bari,magistrale,2,statistica e metodi per l'economia e la finanza,NA,scienze statistiche attuariali e finanziarie,10,44,https://manageweb.ict.uniba.it/ricerca/dipartimenti/dse/didattica/schede-dei-corsi/statistica-metodi-economia-finanza
2022/2023,07201,1583024,SUD,PUGLIA,Bari,magistrale,2,scienze storiche e sociali,NA,scienze storiche,NA,NA,https://www.uniba.it/corsi/scienze-storiche-sociali
2022/2023,07201,1583601,SUD,PUGLIA,Bari,magistrale,2,sicurezza degli alimenti di origine animale e salute,NA,scienze zootecniche e tecnologie  animali,23,37,https://manageweb.ict.uniba.it/ricerca/dipartimenti/dipmedveterinaria/didattica-1/offerta-formativa/sicurezza-degli-alimenti-di-origine-animale-e-salute_lm86
2022/2023,07201,1579840,SUD,PUGLIA,Bari,magistrale,2,innovazione sociale e politiche di inclusione,NA,servizio sociale e politiche sociali,NA,NA,http://www.uniba.it/ricerca/dipartimenti/scienze-politiche/didattica/corsi-di-laurea/ispi
2022/2023,07201,1580188,SUD,PUGLIA,Bari,magistrale,2,storia dell'arte,NA,storia dell'arte,44,104,https://www.uniba.it/corsi/storia-arte
2022/2023,07201,1579728,SUD,PUGLIA,Bari,magistrale,2,traduzione specialistica,NA,traduzione specialistica e interpretariato,112,246,https://www.uniba.it/ricerca/dipartimenti/dirium/didattica/corsi-di-laurea-1/schede-corsi/copy_of_corso-traduzione-specialistica
2022/2023,07201,1583264,SUD,PUGLIA,Bari,magistrale,2,scienze strategiche marittimo-portuali,NA,scienze della difesa e della sicurezza,NA,NA,https://www.uniba.it/corsi/scienze-strategico-marittime-portuali/
2022/2023,07201,1578562,SUD,PUGLIA,Bari,magistrale,2,data science,NA,data science,NA,NA,https://www.uniba.it/ricerca/dipartimenti/informatica/didattica/corsi-di-laurea/data-science/data-science
2022/2023,07202,1583732,SUD,PUGLIA,Bari Politecnico,magistrale,2,industrial design,NA,design,14,32,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10141
2022/2023,07202,1583733,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria dei sistemi medicali,NA,ingegneria biomedica,NA,NA,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do;jsessionid=00CDF83817804F526D72032DF597D660.esse3-poliba-prod-04?corso_id=10155
2022/2023,07202,1583734,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria civile,NA,ingegneria civile,69,257,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10014
2022/2023,07202,1579518,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria della gestione delle infrastrutture civili,NA,ingegneria civile,NA,NA,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10177
2022/2023,07202,1583735,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria dei sistemi edilizi,NA,ingegneria dei sistemi edilizi,49,193,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10008
2022/2023,07202,1583736,SUD,PUGLIA,Bari Politecnico,magistrale,2,automation engineering,NA,ingegneria dell'automazione,41,82,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10015
2022/2023,07202,1583737,SUD,PUGLIA,Bari Politecnico,magistrale,2,telecommunications engineering,NA,ingegneria delle telecomunicazioni,45,75,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10016
2022/2023,07202,1583580,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria elettrica,NA,ingegneria elettrica,43,114,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10017
2022/2023,07202,1583738,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria elettronica,NA,ingegneria elettronica,34,96,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10018
2022/2023,07202,1579516,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria energetica,NA,ingegneria energetica e nucleare,NA,NA,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10178
2022/2023,07202,1583739,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria gestionale,NA,ingegneria gestionale,211,462,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10036
2022/2023,07202,1583740,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria informatica,NA,ingegneria informatica,NA,42,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10021
2022/2023,07202,1583742,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria meccanica,NA,ingegneria meccanica,187,492,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10022
2022/2023,07202,1583741,SUD,PUGLIA,Bari Politecnico,magistrale,2,mechanical engineering,NA,ingegneria meccanica,NA,NA,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10162
2022/2023,07202,1583743,SUD,PUGLIA,Bari Politecnico,magistrale,2,ingegneria per l'ambiente e il territorio,NA,ingegneria per l'ambiente e il territorio,46,94,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10028
2022/2023,07202,1579800,SUD,PUGLIA,Bari Politecnico,magistrale,2,trasformazione digitale,NA,data science,NA,NA,https://poliba.esse3.cineca.it/Guide/PaginaCorso.do?corso_id=10176
2022/2023,07203,1584365,SUD,PUGLIA,Casamassima – LUM G. Degennaro,triennale,3,ingegneria gestionale,NA,ingegneria industriale,NA,NA,NA
2022/2023,07203,1583528,SUD,PUGLIA,Casamassima – LUM G. Degennaro,triennale,3,diritto delle amministrazioni pubbliche,NA,scienze dei servizi giuridici,NA,NA,https://www.lum.it/giurisprudenza-triennale/
2022/2023,07203,1584362,SUD,PUGLIA,Casamassima – LUM G. Degennaro,triennale,3,economia ed organizzazione aziendale,NA,scienze dell'economia e della gestione aziendale,271,882,https://www.lum.it/economia-triennale/
2022/2023,07203,1583359,SUD,PUGLIA,Casamassima – LUM G. Degennaro,triennale,3,enogastronomia e hotellerie internazionale,NA,"scienze, culture e politiche della gastronomia",NA,NA,https://www.lum.it/enogastronomia-dimpresa/
2022/2023,07203,1583689,SUD,PUGLIA,Casamassima – LUM G. Degennaro,ciclo_unico,5,giurisprudenza,NA,magistrali in giurisprudenza,30,400,https://www.lum.it/giurisprudenza-magistrale/
2022/2023,07203,1584366,SUD,PUGLIA,Casamassima – LUM G. Degennaro,magistrale,2,economia e management,NA,scienze economico-aziendali,58,257,https://www.lum.it/economia-magistrale/
2022/2023,07601,1579162,SUD,BASILICATA,Basilicata,triennale,3,operatore dei beni culturali,NA,beni culturali,57,200,http://dicem.unibas.it/site/home/didattica/operatore-dei-beni-culturali.html
2022/2023,07601,1578282,SUD,BASILICATA,Basilicata,triennale,3,ingegneria civile e ambientale,NA,ingegneria civile e ambientale,42,223,http://ingegneria.unibas.it/site/home/didattica/offerta-didattica/articolo690.html
2022/2023,07601,1578283,SUD,BASILICATA,Basilicata,triennale,3,ingegneria meccanica,NA,ingegneria industriale,87,362,http://ingegneria.unibas.it/site/home/didattica/offerta-didattica/articolo713.html
2022/2023,07601,1578982,SUD,BASILICATA,Basilicata,triennale,3,studi umanistici,NA,lettere,125,396,http://disu.unibas.it/site/home/sedi/potenza/studi-umanistici/articolo2003505.html
2022/2023,07601,1578293,SUD,BASILICATA,Basilicata,triennale,3,economia aziendale,NA,scienze dell'economia e della gestione aziendale,197,767,http://economia-usb.unibas.it/
2022/2023,07601,1579163,SUD,BASILICATA,Basilicata,triennale,3,"paesaggio, ambiente e verde urbano",NA,"scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",35,97,http://dicem.unibas.it/site/home/didattica/paesaggio-ambiente-e-verde-urbano.html
2022/2023,07601,1578879,SUD,BASILICATA,Basilicata,triennale,3,scienze forestali e ambientali,NA,scienze e tecnologie agrarie e forestali,19,104,http://agraria.unibas.it/site/home/didattica/offerta-didattica/-scienze-forestali-e-ambientali---0427/offerta-didattica-erogata-cds-sfa-aa-201617/articolo5000295.html
2022/2023,07601,1578880,SUD,BASILICATA,Basilicata,triennale,3,tecnologie agrarie,NA,scienze e tecnologie agrarie e forestali,45,173,http://agraria.unibas.it/site/home/didattica/offerta-didattica/-tecnologie-agrarie---0425/articolo5000281.html
2022/2023,07601,1578881,SUD,BASILICATA,Basilicata,triennale,3,tecnologie alimentari,NA,scienze e tecnologie alimentari,52,194,https://agraria.unibas.it/site/home/didattica/offerta-didattica/-tecnologie-alimentari---0421.html
2022/2023,07601,1578274,SUD,BASILICATA,Basilicata,triennale,3,chimica,NA,scienze e tecnologie chimiche,NA,NA,http://scienze.unibas.it/site/home/didattica/offerta-didattica.html
2022/2023,07601,1578294,SUD,BASILICATA,Basilicata,triennale,3,scienze e tecnologie informatiche,NA,scienze e tecnologie informatiche,83,376,http://www.informatica.unibas.it/informatica/index.php?option=com_content&view=frontpage&Itemid=36
2022/2023,07601,1578275,SUD,BASILICATA,Basilicata,triennale,3,scienze geologiche ambientali,NA,scienze geologiche,NA,NA,http://scienze.unibas.it/site/home/didattica/offerta-didattica.html
2022/2023,07601,1578295,SUD,BASILICATA,Basilicata,triennale,3,matematica,NA,scienze matematiche,NA,NA,http://matematica.unibas.it
2022/2023,07601,1579164,SUD,BASILICATA,Basilicata,magistrale,2,scienze antropologiche e geografiche per i patrimoni culturali e la valorizzazione dei territori (sage),NA,antropologia culturale ed etnologia,NA,NA,http://dicem.unibas.it/site/home/didattica/scienze-antropologiche-e-geografiche-per-i-patrimoni-culturali-e-la-valorizzazione-dei-territori.html%20
2022/2023,07601,1579165,SUD,BASILICATA,Basilicata,magistrale,2,archeologia e storia dell'arte,NA,archeologia,NA,NA,http://dicem.unibas.it/site/home/didattica/archeologia-e-storia-dell146arte.html
2022/2023,07601,1578276,SUD,BASILICATA,Basilicata,magistrale,2,"biotecnologie per la diagnostica medica, farmaceutica e veterinaria",NA,"biotecnologie mediche, veterinarie e farmaceutiche",17,54,http://scienze.unibas.it/site/home/didattica/offerta-didattica.html
2022/2023,07601,1578984,SUD,BASILICATA,Basilicata,magistrale,2,filologia classica e moderna,NA,filologia moderna,23,62,http://disu.unibas.it/site/home.html
